🐳 Docker Containers
NAMES                                                                                                 IMAGE                                                                                                                                                                  STATUS
bold_shamir                                                                                           caliper-node22:0.7.1                                                                                                                                                   Up 5 seconds
dev-peer0.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9   dev-peer0.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9-54944490b2254ff478eafb71808d3d4c8719a084fdb959bb8874d66a43fce390   Up 14 minutes
dev-peer1.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9   dev-peer1.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9-a65d711a078ff78652fd6b4a7c517849df8a925588b663f00514e055772e52a2   Up 14 minutes
dev-peer1.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9   dev-peer1.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9-3af9f756d8f30d0b754cd76d29fd97867eff1f84d1efe190523145ab9e13144b   Up 14 minutes
dev-peer0.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9   dev-peer0.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9-a33b1842d6c76a1e30cb1658686969a0afbd4ed64af29526779f14c1bad45669   Up 14 minutes
app-node                                                                                              docker-node-app-node                                                                                                                                                   Up 13 minutes
cli                                                                                                   hyperledger/fabric-tools:2.5                                                                                                                                           Up 14 minutes
peer0.org2.esign.com                                                                                  hyperledger/fabric-peer:2.5                                                                                                                                            Up 14 minutes (healthy)
peer1.org2.esign.com                                                                                  hyperledger/fabric-peer:2.5                                                                                                                                            Up 14 minutes (healthy)
peer1.org1.esign.com                                                                                  hyperledger/fabric-peer:2.5                                                                                                                                            Up 14 minutes (healthy)
peer0.org1.esign.com                                                                                  hyperledger/fabric-peer:2.5                                                                                                                                            Up 14 minutes (healthy)
couchdb.peer0.org1                                                                                    couchdb:3.1                                                                                                                                                            Up 14 minutes (healthy)
couchdb.peer1.org2                                                                                    couchdb:3.1                                                                                                                                                            Up 14 minutes (healthy)
couchdb.peer0.org2                                                                                    couchdb:3.1                                                                                                                                                            Up 14 minutes (healthy)
couchdb.peer1.org1                                                                                    couchdb:3.1                                                                                                                                                            Up 14 minutes (healthy)
nats.org1.esign.com                                                                                   nats:2.10-alpine                                                                                                                                                       Up 14 minutes (healthy)
orderer.esign.com                                                                                     hyperledger/fabric-orderer:2.5                                                                                                                                         Up 14 minutes (unhealthy)
nats.org2.esign.com                                                                                   nats:2.10-alpine                                                                                                                                                       Up 14 minutes (healthy)
