NAME                                                                                                  CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O
bold_shamir                                                                                           0.22%     220.2MiB / 7.133GiB   638kB / 41.2kB    65.1MB / 5.87MB
dev-peer0.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9   0.00%     24.86MiB / 7.133GiB   4.81MB / 4.12MB   16.8MB / 57.3kB
dev-peer1.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9   0.00%     4.02MiB / 7.133GiB    14.3kB / 10.1kB   8.19MB / 786kB
dev-peer1.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9   0.00%     2.422MiB / 7.133GiB   15.2kB / 11.1kB   8.2MB / 2.41MB
dev-peer0.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9   0.00%     17.38MiB / 7.133GiB   14.3kB / 10.2kB   16MB / 664kB
app-node                                                                                              0.00%     14.58MiB / 7.133GiB   94.7kB / 58.3kB   55.2MB / 33MB
cli                                                                                                   0.00%     1.887MiB / 7.133GiB   6.88kB / 126B     1.2MB / 0B
peer0.org2.esign.com                                                                                  3.09%     101.2MiB / 7.133GiB   12.3MB / 5.76MB   14.1MB / 15.2MB
peer1.org2.esign.com                                                                                  1.65%     74.4MiB / 7.133GiB    12.3MB / 12.2MB   26.9MB / 40.7MB
peer1.org1.esign.com                                                                                  1.77%     97.96MiB / 7.133GiB   17.4MB / 8.78MB   9.4MB / 67MB
peer0.org1.esign.com                                                                                  1.49%     107.5MiB / 7.133GiB   32MB / 37.5MB     7.88MB / 61.1MB
couchdb.peer0.org1                                                                                    5.52%     47.35MiB / 7.133GiB   4.77MB / 4.46MB   24.6MB / 89.7MB
couchdb.peer1.org2                                                                                    6.33%     45.91MiB / 7.133GiB   2.02MB / 2.07MB   33.5MB / 56.1MB
couchdb.peer0.org2                                                                                    5.63%     47.14MiB / 7.133GiB   2.02MB / 2.08MB   19.4MB / 50.3MB
couchdb.peer1.org1                                                                                    5.53%     69.75MiB / 7.133GiB   4.73MB / 4.07MB   24.2MB / 71.5MB
nats.org1.esign.com                                                                                   0.21%     8.707MiB / 7.133GiB   39.9kB / 44.3kB   6.69MB / 315kB
orderer.esign.com                                                                                     0.10%     16.47MiB / 7.133GiB   7.03MB / 13.5MB   45.1MB / 26.3MB
nats.org2.esign.com                                                                                   0.06%     7.051MiB / 7.133GiB   40.8kB / 45.7kB   7.34MB / 741kB
