concurrency,requests,success,failures,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,duration_seconds,throughput_rps
1,1000,1000,0,148.64387963600007,147.207876,162.695066,185.086345,134.156448,208.074104,148.649604373,6.727229475100004
5,1000,1000,0,803.1182037729999,800.206777,863.218066,891.666694,159.923208,903.681118,160.994877108,6.211377765325857
10,1000,1000,0,1758.927584684,1777.231506,1852.708995,1894.936018,187.206089,1931.790428,176.695944584,5.6594394532049215
25,1000,1000,0,4702.233073879002,4759.588768,4933.572595,4972.669571,226.84498,5008.994469,190.418490856,5.251590827679802
50,1000,1000,0,10043.743916915999,10284.318368,10724.053256,10829.716812,280.441056,10854.227585,206.061619189,4.852917316362532
100,1000,1000,0,20908.052386662963,22014.915433,22433.701092,22488.242785,383.028915,22521.754064,220.01670503,4.545109426412175
