concurrency,requests,success,failures,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,duration_seconds,throughput_rps
1,1000,1000,0,131.27644262199993,127.9255,178.383302,197.929313,113.180673,245.060403,131.282575842,7.617157064342726
5,1000,1000,0,729.4863340820001,714.691169,827.439183,1130.407868,269.896895,1281.807,146.250932565,6.837563237797191
10,1000,1000,0,1600.908816648,1579.668642,1690.476742,2476.575572,312.008518,2669.113093,160.906272132,6.214798135274967
25,1000,1000,0,4317.994409801004,4247.612,4611.878058,6359.182114,389.2873,7024.028233,174.796437151,5.720940405302072
50,1000,1000,0,9241.651213926976,9311.123946,9864.228368,11168.36899,554.059932,12146.739828,189.523871039,5.276380196952716
100,1000,1000,0,19281.454416811997,19969.025662,20492.227668,21494.480008,727.930315,22610.42305,203.085307766,4.92403911932529
