test_type,round_tag,seed,attack_ratio,total,tampered_count,method,accuracy,precision,recall,f1
t2_only,120,43,0.01,100,1,contentOnly,99.00,NA,0.00,NA
t2_only,120,43,0.01,100,1,twoStage,100.00,100.00,100.00,100.00
t2_only,121,43,0.05,100,5,contentOnly,95.00,NA,0.00,NA
t2_only,121,43,0.05,100,5,twoStage,100.00,100.00,100.00,100.00
t2_only,122,43,0.1,100,10,contentOnly,90.00,NA,0.00,NA
t2_only,122,43,0.1,100,10,twoStage,100.00,100.00,100.00,100.00
t2_only,123,43,0.25,100,25,contentOnly,75.00,NA,0.00,NA
t2_only,123,43,0.25,100,25,twoStage,100.00,100.00,100.00,100.00
t2_only,124,20,0.01,100,1,contentOnly,99.00,NA,0.00,NA
t2_only,124,20,0.01,100,1,twoStage,100.00,100.00,100.00,100.00
t2_only,125,20,0.05,100,5,contentOnly,95.00,NA,0.00,NA
t2_only,125,20,0.05,100,5,twoStage,100.00,100.00,100.00,100.00
t2_only,126,20,0.1,100,10,contentOnly,90.00,NA,0.00,NA
t2_only,126,20,0.1,100,10,twoStage,100.00,100.00,100.00,100.00
t2_only,127,20,0.25,100,25,contentOnly,75.00,NA,0.00,NA
t2_only,127,20,0.25,100,25,twoStage,100.00,100.00,100.00,100.00
t2_only,128,33,0.01,100,1,contentOnly,99.00,NA,0.00,NA
t2_only,128,33,0.01,100,1,twoStage,100.00,100.00,100.00,100.00
t2_only,129,33,0.05,100,5,contentOnly,95.00,NA,0.00,NA
t2_only,129,33,0.05,100,5,twoStage,100.00,100.00,100.00,100.00
t2_only,130,33,0.1,100,10,contentOnly,90.00,NA,0.00,NA
t2_only,130,33,0.1,100,10,twoStage,100.00,100.00,100.00,100.00
t2_only,131,33,0.25,100,25,contentOnly,75.00,NA,0.00,NA
t2_only,131,33,0.25,100,25,twoStage,100.00,100.00,100.00,100.00
t2_only,132,13,0.01,100,1,contentOnly,99.00,NA,0.00,NA
t2_only,132,13,0.01,100,1,twoStage,100.00,100.00,100.00,100.00
t2_only,133,13,0.05,100,5,contentOnly,95.00,NA,0.00,NA
t2_only,133,13,0.05,100,5,twoStage,100.00,100.00,100.00,100.00
t2_only,134,13,0.1,100,10,contentOnly,90.00,NA,0.00,NA
t2_only,134,13,0.1,100,10,twoStage,100.00,100.00,100.00,100.00
t2_only,135,13,0.25,100,25,contentOnly,75.00,NA,0.00,NA
t2_only,135,13,0.25,100,25,twoStage,100.00,100.00,100.00,100.00
t2_only,136,25,0.01,100,1,contentOnly,99.00,NA,0.00,NA
t2_only,136,25,0.01,100,1,twoStage,100.00,100.00,100.00,100.00
t2_only,137,25,0.05,100,5,contentOnly,95.00,NA,0.00,NA
t2_only,137,25,0.05,100,5,twoStage,100.00,100.00,100.00,100.00
t2_only,138,25,0.1,100,10,contentOnly,90.00,NA,0.00,NA
t2_only,138,25,0.1,100,10,twoStage,100.00,100.00,100.00,100.00
t2_only,139,25,0.25,100,25,contentOnly,75.00,NA,0.00,NA
t2_only,139,25,0.25,100,25,twoStage,100.00,100.00,100.00,100.00
