Timestamp,Name,CPUPerc,MemUsage,NetIO,BlockIO
2025-12-06 13:24:50,dev-peer1.org1.esign.com-basic_1.1-6a064af0e3d19a7f221b8c2c8c080eb22fa816918732f2f5c45e47cc6ea0bb22,0.06%,11.23MiB / 3.518GiB,226kB / 114kB,15.2MB / 0B
2025-12-06 13:24:50,dev-peer0.org1.esign.com-basic_1.1-6a064af0e3d19a7f221b8c2c8c080eb22fa816918732f2f5c45e47cc6ea0bb22,0.35%,13.45MiB / 3.518GiB,6.11MB / 2.4MB,15.2MB / 0B
2025-12-06 13:24:50,dev-peer1.org2.esign.com-basic_1.1-6a064af0e3d19a7f221b8c2c8c080eb22fa816918732f2f5c45e47cc6ea0bb22,0.00%,10.09MiB / 3.518GiB,10.7kB / 10.7kB,14.4MB / 0B
2025-12-06 13:24:50,dev-peer0.org2.esign.com-basic_1.1-6a064af0e3d19a7f221b8c2c8c080eb22fa816918732f2f5c45e47cc6ea0bb22,0.00%,9.965MiB / 3.518GiB,11.3kB / 11.1kB,15MB / 0B
2025-12-06 13:24:50,cli,0.00%,2.238MiB / 3.518GiB,2.13kB / 126B,2.42MB / 0B
2025-12-06 13:24:50,peer0.org1.esign.com,4.48%,134.3MiB / 3.518GiB,45.2MB / 42MB,26.2MB / 32.9MB
2025-12-06 13:24:50,peer1.org2.esign.com,4.54%,120.6MiB / 3.518GiB,17.4MB / 5.3MB,19.2MB / 13.8MB
2025-12-06 13:24:50,peer1.org1.esign.com,4.55%,144.1MiB / 3.518GiB,20.2MB / 19.5MB,31.9MB / 32.8MB
2025-12-06 13:24:50,peer0.org2.esign.com,4.63%,117.3MiB / 3.518GiB,17.5MB / 17.7MB,16.2MB / 14MB
2025-12-06 13:24:50,orderer.esign.com,0.13%,47.89MiB / 3.518GiB,13.2MB / 25.4MB,71.1MB / 24.9MB
2025-12-06 13:24:50,nats.org1.esign.com,0.76%,6.992MiB / 3.518GiB,4.43kB / 126B,3.64MB / 0B
2025-12-06 13:24:50,couchdb.peer1.org2,0.80%,90.77MiB / 3.518GiB,912kB / 723kB,21.8MB / 9.42MB
2025-12-06 13:24:50,nats.org2.esign.com,0.11%,12.38MiB / 3.518GiB,4.47kB / 126B,12MB / 0B
2025-12-06 13:24:50,couchdb.peer1.org1,0.53%,101.5MiB / 3.518GiB,1.96MB / 1.31MB,25.9MB / 17MB
2025-12-06 13:24:50,couchdb.peer0.org2,0.74%,98.96MiB / 3.518GiB,914kB / 724kB,27.9MB / 9.46MB
2025-12-06 13:24:50,couchdb.peer0.org1,0.51%,101.8MiB / 3.518GiB,1.97MB / 1.31MB,30.9MB / 16.8MB
2025-12-06 13:24:58,dev-peer1.org1.esign.com-basic_1.1-6a064af0e3d19a7f221b8c2c8c080eb22fa816918732f2f5c45e47cc6ea0bb22,0.00%,11.23MiB / 3.518GiB,226kB / 114kB,15.2MB / 0B
2025-12-06 13:24:58,dev-peer0.org1.esign.com-basic_1.1-6a064af0e3d19a7f221b8c2c8c080eb22fa816918732f2f5c45e47cc6ea0bb22,0.00%,13.45MiB / 3.518GiB,6.11MB / 2.4MB,15.2MB / 0B
2025-12-06 13:24:58,dev-peer1.org2.esign.com-basic_1.1-6a064af0e3d19a7f221b8c2c8c080eb22fa816918732f2f5c45e47cc6ea0bb22,0.00%,10.09MiB / 3.518GiB,10.8kB / 10.9kB,14.4MB / 0B
2025-12-06 13:24:58,dev-peer0.org2.esign.com-basic_1.1-6a064af0e3d19a7f221b8c2c8c080eb22fa816918732f2f5c45e47cc6ea0bb22,0.00%,10.14MiB / 3.518GiB,11.4kB / 11.3kB,15.2MB / 0B
2025-12-06 13:24:58,cli,0.00%,2.238MiB / 3.518GiB,2.13kB / 126B,2.42MB / 0B
2025-12-06 13:24:58,peer0.org1.esign.com,4.11%,134.3MiB / 3.518GiB,45.2MB / 42MB,26.2MB / 32.9MB
2025-12-06 13:24:58,peer1.org2.esign.com,4.07%,120.6MiB / 3.518GiB,17.5MB / 5.33MB,19.2MB / 13.8MB
2025-12-06 13:24:58,peer1.org1.esign.com,3.99%,144.1MiB / 3.518GiB,20.2MB / 19.6MB,31.9MB / 32.8MB
2025-12-06 13:24:58,peer0.org2.esign.com,4.06%,117.3MiB / 3.518GiB,17.5MB / 17.8MB,16.2MB / 14MB
2025-12-06 13:24:58,orderer.esign.com,0.14%,47.89MiB / 3.518GiB,13.2MB / 25.4MB,71.1MB / 24.9MB
2025-12-06 13:24:58,nats.org1.esign.com,0.41%,6.992MiB / 3.518GiB,4.43kB / 126B,3.64MB / 0B
2025-12-06 13:24:58,couchdb.peer1.org2,2.00%,90.34MiB / 3.518GiB,912kB / 723kB,21.8MB / 9.42MB
2025-12-06 13:24:58,nats.org2.esign.com,0.06%,12.38MiB / 3.518GiB,4.47kB / 126B,12MB / 0B
2025-12-06 13:24:58,couchdb.peer1.org1,0.51%,101.5MiB / 3.518GiB,1.96MB / 1.31MB,25.9MB / 17MB
2025-12-06 13:24:58,couchdb.peer0.org2,0.67%,98.54MiB / 3.518GiB,914kB / 724kB,27.9MB / 9.46MB
2025-12-06 13:24:58,couchdb.peer0.org1,0.56%,101.3MiB / 3.518GiB,1.97MB / 1.31MB,30.9MB / 16.8MB
2025-12-06 13:25:06,dev-peer1.org1.esign.com-basic_1.1-6a064af0e3d19a7f221b8c2c8c080eb22fa816918732f2f5c45e47cc6ea0bb22,0.00%,11.23MiB / 3.518GiB,226kB / 114kB,15.2MB / 0B
2025-12-06 13:25:06,dev-peer0.org1.esign.com-basic_1.1-6a064af0e3d19a7f221b8c2c8c080eb22fa816918732f2f5c45e47cc6ea0bb22,0.96%,14.18MiB / 3.518GiB,6.2MB / 2.44MB,15.2MB / 0B
2025-12-06 13:25:06,dev-peer1.org2.esign.com-basic_1.1-6a064af0e3d19a7f221b8c2c8c080eb22fa816918732f2f5c45e47cc6ea0bb22,0.00%,10.09MiB / 3.518GiB,11.3kB / 10.9kB,14.4MB / 0B
2025-12-06 13:25:06,dev-peer0.org2.esign.com-basic_1.1-6a064af0e3d19a7f221b8c2c8c080eb22fa816918732f2f5c45e47cc6ea0bb22,0.00%,10.14MiB / 3.518GiB,11.9kB / 11.3kB,15.2MB / 0B
2025-12-06 13:25:06,cli,0.00%,2.238MiB / 3.518GiB,2.58kB / 126B,2.42MB / 0B
2025-12-06 13:25:06,peer0.org1.esign.com,22.56%,137.2MiB / 3.518GiB,46MB / 42.8MB,26.2MB / 33.3MB
2025-12-06 13:25:06,peer1.org2.esign.com,10.04%,123.1MiB / 3.518GiB,17.7MB / 5.38MB,19.3MB / 14MB
2025-12-06 13:25:06,peer1.org1.esign.com,12.51%,148.2MiB / 3.518GiB,20.5MB / 19.8MB,31.9MB / 33.2MB
2025-12-06 13:25:06,peer0.org2.esign.com,10.23%,120.1MiB / 3.518GiB,17.8MB / 18MB,16.2MB / 14.2MB
2025-12-06 13:25:06,orderer.esign.com,4.32%,54.73MiB / 3.518GiB,13.4MB / 25.8MB,71.1MB / 25.3MB
2025-12-06 13:25:06,nats.org1.esign.com,0.38%,6.992MiB / 3.518GiB,4.88kB / 126B,3.64MB / 0B
2025-12-06 13:25:06,couchdb.peer1.org2,25.58%,91.69MiB / 3.518GiB,929kB / 736kB,21.9MB / 9.69MB
2025-12-06 13:25:06,nats.org2.esign.com,0.11%,12.26MiB / 3.518GiB,4.92kB / 126B,12MB / 0B
2025-12-06 13:25:06,couchdb.peer1.org1,38.71%,103.5MiB / 3.518GiB,2MB / 1.33MB,26MB / 17.4MB
2025-12-06 13:25:06,couchdb.peer0.org2,28.50%,98.21MiB / 3.518GiB,930kB / 737kB,28MB / 9.73MB
2025-12-06 13:25:06,couchdb.peer0.org1,32.33%,103.3MiB / 3.518GiB,2MB / 1.33MB,31.1MB / 17.2MB
2025-12-06 13:25:14,dev-peer1.org1.esign.com-basic_1.1-6a064af0e3d19a7f221b8c2c8c080eb22fa816918732f2f5c45e47cc6ea0bb22,0.00%,11.23MiB / 3.518GiB,226kB / 114kB,15.2MB / 0B
2025-12-06 13:25:14,dev-peer0.org1.esign.com-basic_1.1-6a064af0e3d19a7f221b8c2c8c080eb22fa816918732f2f5c45e47cc6ea0bb22,0.00%,14.69MiB / 3.518GiB,6.31MB / 2.48MB,15.2MB / 0B
2025-12-06 13:25:14,dev-peer1.org2.esign.com-basic_1.1-6a064af0e3d19a7f221b8c2c8c080eb22fa816918732f2f5c45e47cc6ea0bb22,0.01%,10.09MiB / 3.518GiB,11.3kB / 11kB,14.4MB / 0B
2025-12-06 13:25:14,dev-peer0.org2.esign.com-basic_1.1-6a064af0e3d19a7f221b8c2c8c080eb22fa816918732f2f5c45e47cc6ea0bb22,0.03%,10.14MiB / 3.518GiB,11.9kB / 11.4kB,15.2MB / 0B
2025-12-06 13:25:14,cli,0.00%,2.238MiB / 3.518GiB,2.58kB / 126B,2.42MB / 0B
2025-12-06 13:25:14,peer0.org1.esign.com,5.32%,146.2MiB / 3.518GiB,46.6MB / 43.4MB,26.2MB / 33.8MB
2025-12-06 13:25:14,peer1.org2.esign.com,5.46%,125.7MiB / 3.518GiB,18MB / 5.45MB,19.3MB / 14.2MB
2025-12-06 13:25:14,peer1.org1.esign.com,5.42%,150.4MiB / 3.518GiB,20.8MB / 20.1MB,31.9MB / 33.6MB
2025-12-06 13:25:14,peer0.org2.esign.com,5.25%,124.4MiB / 3.518GiB,18MB / 18.3MB,16.2MB / 14.4MB
2025-12-06 13:25:14,orderer.esign.com,0.12%,61.36MiB / 3.518GiB,13.6MB / 26.2MB,71.1MB / 25.7MB
2025-12-06 13:25:14,nats.org1.esign.com,0.53%,6.996MiB / 3.518GiB,4.88kB / 126B,3.64MB / 0B
2025-12-06 13:25:14,couchdb.peer1.org2,2.69%,91.57MiB / 3.518GiB,948kB / 752kB,22MB / 10.1MB
2025-12-06 13:25:14,nats.org2.esign.com,0.12%,12.52MiB / 3.518GiB,4.92kB / 126B,12MB / 0B
2025-12-06 13:25:14,couchdb.peer1.org1,2.84%,103.9MiB / 3.518GiB,2.04MB / 1.36MB,26.1MB / 18MB
2025-12-06 13:25:14,couchdb.peer0.org2,3.23%,98.82MiB / 3.518GiB,949kB / 753kB,28.1MB / 10.1MB
2025-12-06 13:25:14,couchdb.peer0.org1,2.74%,103.1MiB / 3.518GiB,2.04MB / 1.36MB,31.3MB / 17.8MB
